Year,Disaster,Occurences
1900,Storm,1
1900,Flood,1
1900,Volcanic activity,1
1900,Earthquake,1
1900,Drought,2
1900,Total,6
1901,Earthquake,1
1901,Total,1
1902,Volcanic activity,5
1902,Storm,1
1902,Earthquake,4
1902,Total,10
1903,Flood,2
1903,Earthquake,5
1903,Storm,2
1903,Volcanic activity,1
1903,Drought,1
1903,Total,11
1904,Storm,1
1904,Earthquake,3
1904,Total,4
1905,Earthquake,5
1905,Storm,1
1905,Total,6
1907,Earthquake,3
1907,Total,3
1906,Earthquake,6
1906,Storm,3
1906,Volcanic activity,1
1906,Flood,2
1906,Drought,1
1906,Total,13
1908,Earthquake,2
1908,Total,2
1909,Storm,5
1909,Earthquake,8
1909,Flood,1
1909,Total,14
1910,Storm,1
1910,Earthquake,4
1910,Flood,1
1910,Drought,9
1910,Total,15
1911,Volcanic activity,1
1911,Flood,1
1911,Storm,2
1911,Wildfire,1
1911,Earthquake,5
1911,Total,10
1912,Storm,5
1912,Earthquake,1
1912,Total,6
1913,Storm,1
1913,Earthquake,4
1913,Total,5
1914,Storm,1
1914,Volcanic activity,1
1914,Earthquake,6
1914,Total,8
1915,Earthquake,3
1915,Storm,2
1915,Flood,1
1915,Total,6
1916,Storm,1
1916,Earthquake,2
1916,Total,3
1917,Earthquake,4
1917,Storm,2
1917,Flood,1
1917,Total,7
1918,Storm,1
1918,Wildfire,1
1918,Earthquake,3
1918,Total,5
1919,Volcanic activity,1
1919,Storm,2
1919,Drought,1
1919,Total,4
1920,Flood,1
1920,Earthquake,5
1920,Storm,1
1920,Drought,2
1920,Total,9
1921,Drought,1
1921,Total,1
1922,Earthquake,3
1922,Storm,2
1922,Wildfire,1
1922,Total,6
1923,Storm,6
1923,Earthquake,6
1923,Total,12
1924,Storm,2
1924,Earthquake,6
1924,Total,8
1925,Storm,3
1925,Earthquake,8
1925,Flood,1
1925,Total,12
1926,Flood,3
1926,Storm,7
1926,Earthquake,1
1926,Volcanic activity,1
1926,Total,12
1927,Earthquake,4
1927,Flood,2
1927,Storm,4
1927,Total,10
1928,Earthquake,7
1928,Storm,7
1928,Flood,2
1928,Drought,1
1928,Total,17
1929,Wildfire,1
1929,Storm,2
1929,Earthquake,2
1929,Total,5
1930,Volcanic activity,1
1930,Earthquake,15
1930,Storm,4
1930,Total,20
1931,Earthquake,6
1931,Storm,4
1931,Flood,1
1931,Volcanic activity,1
1931,Drought,1
1931,Total,13
1932,Storm,5
1932,Earthquake,6
1932,Total,11
1933,Earthquake,5
1933,Flood,2
1933,Storm,3
1933,Drought,1
1933,Total,11
1934,Earthquake,3
1934,Storm,4
1934,Total,7
1935,Earthquake,7
1935,Storm,7
1935,Flood,1
1935,Total,15
1936,Flood,1
1936,Storm,5
1936,Extreme temperature,2
1936,Earthquake,11
1936,Total,19
1937,Flood,2
1937,Volcanic activity,1
1937,Storm,3
1937,Earthquake,3
1937,Total,9
1938,Earthquake,2
1938,Storm,2
1938,Flood,2
1938,Total,6
1939,Earthquake,7
1939,Storm,2
1939,Flood,2
1939,Wildfire,1
1939,Total,12
1940,Earthquake,7
1940,Storm,3
1940,Flood,1
1940,Drought,9
1940,Total,20
1941,Storm,4
1941,Earthquake,8
1941,Total,12
1942,Earthquake,8
1942,Storm,3
1942,Drought,1
1942,Total,12
1943,Flood,2
1943,Earthquake,9
1943,Volcanic activity,1
1943,Storm,3
1943,Drought,1
1943,Total,16
1944,Earthquake,6
1944,Storm,5
1944,Wildfire,2
1944,Volcanic activity,1
1944,Total,14
1945,Volcanic activity,1
1945,Storm,7
1945,Earthquake,8
1945,Total,16
1946,Earthquake,10
1946,Volcanic activity,1
1946,Storm,5
1946,Drought,1
1946,Total,17
1947,Earthquake,3
1947,Flood,1
1947,Storm,7
1947,Wildfire,1
1947,Drought,1
1947,Total,13
1948,Earthquake,7
1948,Storm,10
1948,Flood,5
1948,Volcanic activity,1
1948,Total,23
1949,Volcanic activity,2
1949,Earthquake,7
1949,Storm,8
1949,Flood,2
1949,Wildfire,1
1949,Total,20
1950,Flood,10
1950,Earthquake,7
1950,Storm,7
1950,Volcanic activity,1
1950,Total,25
1951,Volcanic activity,3
1951,Extreme temperature,2
1951,Storm,11
1951,Earthquake,7
1951,Flood,7
1951,Total,30
1952,Storm,9
1952,Earthquake,13
1952,Flood,4
1952,Volcanic activity,1
1952,Total,27
1953,Earthquake,9
1953,Flood,12
1953,Storm,11
1953,Volcanic activity,1
1953,Extreme temperature,3
1953,Total,36
1954,Flood,9
1954,Storm,10
1954,Earthquake,5
1954,Volcanic activity,1
1954,Total,25
1955,Earthquake,6
1955,Storm,19
1955,Flood,3
1955,Extreme temperature,1
1955,Total,29
1956,Flood,9
1956,Earthquake,6
1956,Volcanic activity,1
1956,Storm,14
1956,Wildfire,1
1956,Total,31
1957,Storm,9
1957,Flood,11
1957,Earthquake,7
1957,Volcanic activity,1
1957,Total,28
1958,Earthquake,5
1958,Extreme temperature,2
1958,Storm,13
1958,Flood,3
1958,Total,23
1959,Flood,13
1959,Storm,16
1959,Earthquake,3
1959,Total,32
1960,Flood,7
1960,Earthquake,8
1960,Storm,20
1960,Volcanic activity,1
1960,Drought,1
1960,Total,37
1961,Storm,14
1961,Flood,8
1961,Earthquake,3
1961,Extreme temperature,1
1961,Drought,1
1961,Total,27
1962,Storm,13
1962,Earthquake,4
1962,Flood,8
1962,Extreme temperature,1
1962,Total,26
1963,Earthquake,3
1963,Volcanic activity,3
1963,Storm,21
1963,Flood,8
1963,Extreme temperature,2
1963,Drought,1
1963,Total,38
1964,Flood,22
1964,Storm,22
1964,Earthquake,7
1964,Volcanic activity,1
1964,Drought,7
1964,Total,59
1965,Earthquake,8
1965,Flood,19
1965,Storm,19
1965,Wildfire,1
1965,Volcanic activity,1
1965,Extreme temperature,1
1965,Drought,7
1965,Total,56
1966,Flood,23
1966,Storm,27
1966,Earthquake,13
1966,Volcanic activity,2
1966,Extreme temperature,2
1966,Wildfire,1
1966,Drought,9
1966,Total,77
1967,Flood,26
1967,Storm,25
1967,Wildfire,1
1967,Earthquake,15
1967,Drought,5
1967,Total,72
1968,Storm,25
1968,Earthquake,16
1968,Flood,20
1968,Volcanic activity,2
1968,Wildfire,2
1968,Extreme temperature,2
1968,Drought,7
1968,Total,74
1969,Flood,14
1969,Volcanic activity,2
1969,Earthquake,11
1969,Storm,25
1969,Wildfire,1
1969,Drought,10
1969,Total,63
1972,Drought,7
1972,Flood,15
1972,Extreme temperature,2
1972,Storm,26
1972,Earthquake,7
1972,Total,57
1971,Drought,7
1971,Flood,15
1971,Volcanic activity,3
1971,Extreme temperature,1
1971,Earthquake,6
1971,Storm,22
1971,Total,54
1970,Flood,31
1970,Earthquake,12
1970,Storm,24
1970,Wildfire,1
1970,Drought,2
1970,Total,70
1973,Storm,22
1973,Extreme temperature,3
1973,Volcanic activity,1
1973,Earthquake,8
1973,Flood,20
1973,Wildfire,2
1973,Drought,2
1973,Total,58
1974,Drought,4
1974,Storm,28
1974,Flood,17
1974,Earthquake,6
1974,Total,55
1975,Flood,17
1975,Storm,25
1975,Earthquake,5
1975,Volcanic activity,3
1975,Extreme temperature,3
1975,Drought,1
1975,Total,54
1976,Storm,30
1976,Earthquake,21
1976,Wildfire,1
1976,Flood,16
1976,Volcanic activity,5
1976,Drought,6
1976,Total,79
1977,Drought,16
1977,Flood,47
1977,Volcanic activity,5
1977,Extreme temperature,1
1977,Storm,29
1977,Earthquake,14
1977,Wildfire,1
1977,Total,113
1978,Drought,9
1978,Flood,47
1978,Earthquake,9
1978,Storm,38
1978,Wildfire,1
1978,Extreme temperature,1
1978,Volcanic activity,2
1978,Total,107
1979,Flood,34
1979,Extreme temperature,4
1979,Storm,30
1979,Earthquake,22
1979,Wildfire,1
1979,Volcanic activity,4
1979,Drought,11
1979,Total,106
1980,Earthquake,17
1980,Flood,39
1980,Extreme temperature,3
1980,Storm,36
1980,Volcanic activity,2
1980,Wildfire,1
1980,Drought,14
1980,Total,112
1983,Drought,32
1983,Flood,48
1983,Extreme temperature,2
1983,Storm,55
1983,Wildfire,11
1983,Earthquake,26
1983,Volcanic activity,7
1983,Total,181
1982,Drought,13
1982,Flood,48
1982,Storm,51
1982,Earthquake,15
1982,Volcanic activity,3
1982,Extreme temperature,3
1982,Wildfire,2
1982,Total,135
1981,Drought,13
1981,Extreme temperature,2
1981,Flood,41
1981,Storm,47
1981,Earthquake,15
1981,Wildfire,2
1981,Volcanic activity,1
1981,Total,121
1984,Drought,8
1984,Wildfire,7
1984,Flood,46
1984,Earthquake,13
1984,Storm,53
1984,Volcanic activity,7
1984,Extreme temperature,1
1984,Total,135
1985,Flood,57
1985,Wildfire,12
1985,Storm,49
1985,Earthquake,17
1985,Extreme temperature,8
1985,Volcanic activity,2
1985,Drought,3
1985,Total,148
1986,Flood,49
1986,Extreme temperature,2
1986,Storm,53
1986,Wildfire,5
1986,Earthquake,21
1986,Volcanic activity,2
1986,Drought,4
1986,Total,136
1987,Wildfire,7
1987,Flood,66
1987,Storm,57
1987,Volcanic activity,2
1987,Earthquake,15
1987,Extreme temperature,5
1987,Drought,15
1987,Total,167
1988,Flood,75
1988,Extreme temperature,6
1988,Earthquake,15
1988,Storm,60
1988,Volcanic activity,4
1988,Drought,17
1988,Total,177
1989,Storm,72
1989,Flood,46
1989,Earthquake,19
1989,Volcanic activity,1
1989,Extreme temperature,5
1989,Wildfire,2
1989,Drought,7
1989,Total,152
1990,Flood,60
1990,Storm,135
1990,Earthquake,41
1990,Volcanic activity,2
1990,Extreme temperature,13
1990,Wildfire,4
1990,Drought,12
1990,Total,267
1992,Drought,12
1992,Storm,76
1992,Flood,58
1992,Earthquake,25
1992,Volcanic activity,5
1992,Extreme temperature,7
1992,Wildfire,8
1992,Total,191
1991,Drought,18
1991,Earthquake,29
1991,Storm,66
1991,Extreme temperature,8
1991,Flood,75
1991,Wildfire,8
1991,Volcanic activity,10
1991,Total,214
1994,Drought,13
1994,Wildfire,13
1994,Earthquake,25
1994,Flood,88
1994,Storm,80
1994,Volcanic activity,6
1994,Extreme temperature,9
1994,Total,234
1993,Storm,107
1993,Flood,84
1993,Volcanic activity,6
1993,Earthquake,20
1993,Extreme temperature,3
1993,Wildfire,2
1993,Drought,9
1993,Total,231
1995,Extreme temperature,13
1995,Flood,93
1995,Storm,80
1995,Earthquake,26
1995,Volcanic activity,5
1995,Wildfire,7
1995,Drought,6
1995,Total,230
1996,Earthquake,13
1996,Flood,92
1996,Storm,76
1996,Extreme temperature,5
1996,Wildfire,4
1996,Volcanic activity,5
1996,Drought,6
1996,Total,201
1997,Drought,18
1997,Flood,95
1997,Extreme temperature,13
1997,Earthquake,23
1997,Volcanic activity,4
1997,Storm,79
1997,Wildfire,15
1997,Total,247
1998,Extreme temperature,12
1998,Storm,88
1998,Flood,94
1998,Earthquake,30
1998,Wildfire,18
1998,Volcanic activity,4
1998,Drought,20
1998,Total,266
1999,Wildfire,21
1999,Flood,122
1999,Extreme temperature,8
1999,Storm,106
1999,Earthquake,33
1999,Volcanic activity,5
1999,Drought,23
1999,Total,318
2001,Drought,22
2001,Earthquake,25
2001,Storm,105
2001,Extreme temperature,23
2001,Flood,156
2001,Volcanic activity,6
2001,Wildfire,14
2001,Total,351
2000,Drought,27
2000,Flood,157
2000,Extreme temperature,30
2000,Volcanic activity,5
2000,Storm,102
2000,Wildfire,30
2000,Earthquake,30
2000,Total,381
2002,Drought,25
2002,Earthquake,37
2002,Storm,123
2002,Flood,171
2002,Volcanic activity,7
2002,Wildfire,22
2002,Extreme temperature,15
2002,Total,400
2003,Flood,158
2003,Storm,86
2003,Extreme temperature,25
2003,Wildfire,14
2003,Earthquake,40
2003,Volcanic activity,2
2003,Drought,14
2003,Total,339
2004,Earthquake,42
2004,Storm,124
2004,Extreme temperature,16
2004,Flood,128
2004,Volcanic activity,5
2004,Wildfire,8
2004,Drought,11
2004,Total,334
2005,Storm,130
2005,Wildfire,13
2005,Flood,191
2005,Earthquake,25
2005,Volcanic activity,8
2005,Extreme temperature,30
2005,Drought,20
2005,Total,417
2006,Extreme temperature,24
2006,Storm,76
2006,Flood,226
2006,Wildfire,9
2006,Earthquake,24
2006,Volcanic activity,12
2006,Drought,9
2006,Total,380
2007,Flood,217
2007,Storm,104
2007,Extreme temperature,25
2007,Earthquake,21
2007,Volcanic activity,6
2007,Wildfire,18
2007,Drought,11
2007,Total,402
2008,Earthquake,23
2008,Storm,112
2008,Extreme temperature,10
2008,Flood,165
2008,Volcanic activity,7
2008,Wildfire,5
2008,Drought,16
2008,Total,338
2009,Extreme temperature,25
2009,Earthquake,22
2009,Storm,87
2009,Flood,151
2009,Wildfire,9
2009,Volcanic activity,2
2009,Drought,18
2009,Total,314
2010,Extreme temperature,29
2010,Earthquake,24
2010,Flood,184
2010,Storm,94
2010,Volcanic activity,6
2010,Wildfire,7
2010,Drought,17
2010,Total,361
2011,Drought,17
2011,Extreme temperature,15
2011,Flood,156
2011,Storm,84
2011,Earthquake,30
2011,Wildfire,8
2011,Volcanic activity,6
2011,Total,316
2012,Drought,21
2012,Storm,91
2012,Flood,136
2012,Extreme temperature,51
2012,Earthquake,27
2012,Wildfire,6
2012,Volcanic activity,1
2012,Total,333
2013,Extreme temperature,14
2013,Flood,148
2013,Storm,105
2013,Earthquake,29
2013,Wildfire,10
2013,Volcanic activity,3
2013,Drought,9
2013,Total,318
2014,Storm,99
2014,Flood,136
2014,Wildfire,4
2014,Extreme temperature,17
2014,Volcanic activity,6
2014,Earthquake,26
2014,Drought,18
2014,Total,306
2015,Flood,162
2015,Drought,29
2015,Storm,121
2015,Wildfire,13
2015,Earthquake,23
2015,Volcanic activity,6
2015,Extreme temperature,12
2015,Total,366
2016,Extreme temperature,12
2016,Earthquake,30
2016,Storm,86
2016,Wildfire,10
2016,Flood,159
2016,Drought,14
2016,Total,311
2017,Wildfire,15
2017,Flood,127
2017,Extreme temperature,10
2017,Earthquake,22
2017,Storm,130
2017,Volcanic activity,2
2017,Drought,12
2017,Total,318
2018,Storm,95
2018,Flood,128
2018,Earthquake,20
2018,Volcanic activity,9
2018,Extreme temperature,27
2018,Wildfire,10
2018,Drought,16
2018,Total,305
2019,Storm,92
2019,Drought,16
2019,Flood,195
2019,Earthquake,31
2019,Extreme temperature,21
2019,Wildfire,14
2019,Volcanic activity,4
2019,Total,373
